alt event	gene name	gene type	event type	overlaps with	overlap gene	P val up	P val down	min p val	rank up	rank down	min rank	Q val up	Q val down	min Q val
alt_region_33791	AT3G45300	mRNA	alt_3prime	None	None	0.000062	1	0.000062	652	15386	652	0.002345	1	0.002345
alt_region_33792	AT3G45310	mRNA	alt_3prime	None	None	1	0.772448	0.772448	11455	12713	11455	1	1	1
alt_region_33793	AT3G45443	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33794	AT3G45443	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33795	AT3G45638	ncRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33796	AT3G45750	mRNA	alt_3prime	None	None	0.673631	1	0.673631	8482	15386	8482	1	1	1
alt_region_33797	AT3G45770	mRNA	alt_3prime	None	None	1	0.000165	0.000165	11455	584	584	1	0.005071	0.005071
alt_region_33798	AT3G45770	mRNA	alt_3prime	None	None	1	0.00017	0.00017	11455	592	592	1	0.005167	0.005167
alt_region_33799	AT3G45770	mRNA	alt_3prime	None	None	0.001739	1	0.001739	1226	15386	1226	0.032516	1	0.032516
alt_region_338	AT1G15240	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_3380	AT2G31902	ncRNA	intron_ret	mRNA	AT2G31900	1	0.927579	0.927579	11455	14580	11455	1	1	1
alt_region_33800	AT3G45850	mRNA	alt_3prime	None	None	0.886463	1	0.886463	10406	15386	10406	1	1	1
alt_region_33801	AT3G45900	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33802	AT3G45900	mRNA	alt_3prime	None	None	1	0.817345	0.817345	11455	13178	11455	1	1	1
alt_region_33803	AT3G46100	mRNA	alt_3prime	None	None	1	0.41592	0.41592	11455	8571	8571	1	1	1
alt_region_33804	AT3G46100	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33805	AT3G46100	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33806	AT3G46100	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33807	AT3G46100	mRNA	alt_3prime	None	None	1	0.940528	0.940528	11455	14732	11455	1	1	1
alt_region_33808	AT3G46100	mRNA	alt_3prime	None	None	1	0.00023	0.00023	11455	631	631	1	0.006563	0.006563
alt_region_33809	AT3G46100	mRNA	alt_3prime	None	None	1	0.002878	0.002878	11455	1160	1160	1	0.047012	0.047012
alt_region_3381	AT2G31970	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33810	AT3G46100	mRNA	alt_3prime	None	None	0.000007	1	0.000007	443	15386	443	0.0004	1	0.0004
alt_region_33811	AT3G46100	mRNA	alt_3prime	None	None	0.0254	1	0.0254	2361	15386	2361	0.222336	1	0.222336
alt_region_33812	AT3G46180	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33813	AT3G46210	mRNA	alt_3prime	None	None	0.916788	1	0.916788	10703	15386	10703	1	1	1
alt_region_33814	AT3G46210	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33815	AT3G46280	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33816	AT3G46280	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33817	AT3G46280	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33818	AT3G46280	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33819	AT3G46280	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_3382	AT2G31970	mRNA	intron_ret	None	None	1	0.87351	0.87351	11455	13918	11455	1	1	1
alt_region_33820	AT3G46280	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33821	AT3G46385	pseudogenic_transcript	alt_3prime	None	None	0.696502	1	0.696502	8686	15386	8686	1	1	1
